Sales Platform,Order Number,Order Detail Number,Order Time,Buyer's Brand,Buyer's Platform SKU,Product code on B2B Platform,Buyer's Product Description,Commercial Value of Buyer's Product Per Unit,Buyer's Product Link,Dispatch Quantity,Dispatch Logistics Service,Dispatch Logistics Service Process,Expected Dispatch Date,Link of Shipping Attachments,Receiver,Receiver's E-mail,Receiver's Phone Number,Receiver's Zipcode,Detailed Shipping Address,Shipping City,Shipping State/Region,Shipping Country,Order Note
SalesPlatform,OrderId,LineItemNumber,OrderDate,BuyerBrand,BuyerPlatformSku,B2BItemCode,BuyerSkuDescription,BuyerSkuCommercialValue,BuyerSkuLink,ShipToQty,ShipToService,ShipToServiceLevel,ShippedDate,ShipToAttachmentUrl,ShipToName,ShipToEmail,ShipToPhone,ShipToPostalCode,ShipToAddressDetail,ShipToCity,ShipToState,ShipToCountry,OrderComments
